year,variable,value
2003,quality,3.621686746987952
2004,quality,3.604845626072041
2005,quality,3.651718254935413
2006,quality,3.5415162454873648
2007,quality,3.610077519379845
2008,quality,3.506555723651034
2009,quality,3.512337371018394
2010,quality,3.5404858299595143
2011,quality,3.7074217074217075
2012,quality,3.7624932831810853
2013,quality,3.7483766233766236
2014,quality,3.663473298002446
2015,quality,3.625854214123007
2016,quality,3.6978371501272265
2017,quality,3.75933014354067
2018,quality,3.680432645034415
2019,quality,3.5094885815374717
2020,quality,3.5214265171124532
2021,quality,3.4122657580919933
2003,difficulty,2.9759036144578315
2004,difficulty,2.890222984562607
2005,difficulty,2.9332195954179867
2006,difficulty,2.915363016446049
2007,difficulty,2.953488372093023
2008,difficulty,3.0706001008572867
2009,difficulty,3.0677433826828175
2010,difficulty,3.00314889788574
2011,difficulty,2.8678678678678677
2012,difficulty,2.8248253627082214
2013,difficulty,2.7966720779220777
2014,difficulty,2.900529963310232
2015,difficulty,3.0178435839028093
2016,difficulty,3.116624257845632
2017,difficulty,3.1813397129186605
2018,difficulty,3.2605703048180925
2019,difficulty,3.2476680604696044
2020,difficulty,3.2064998561978717
2021,difficulty,3.3138841567291313
