monthyear,variable,value
2001-07-01T00:00:00Z,quality,3.3461538461538463
2001-10-01T00:00:00Z,quality,3.5
2002-01-01T00:00:00Z,quality,3.138888888888889
2002-04-01T00:00:00Z,quality,3.869565217391304
2002-07-01T00:00:00Z,quality,3.4166666666666665
2002-10-01T00:00:00Z,quality,3.4038461538461537
2003-01-01T00:00:00Z,quality,3.3267326732673266
2003-04-01T00:00:00Z,quality,3.553977272727273
2003-07-01T00:00:00Z,quality,3.7091836734693877
2003-10-01T00:00:00Z,quality,3.803072625698324
2004-01-01T00:00:00Z,quality,3.6014625228519197
2004-04-01T00:00:00Z,quality,3.569935691318328
2004-07-01T00:00:00Z,quality,3.7528301886792454
2004-10-01T00:00:00Z,quality,3.5809414466130884
2005-01-01T00:00:00Z,quality,3.601123595505618
2005-04-01T00:00:00Z,quality,3.6894736842105265
2005-07-01T00:00:00Z,quality,3.7707612456747404
2005-10-01T00:00:00Z,quality,3.549000951474786
2006-01-01T00:00:00Z,quality,3.470979443772672
2006-04-01T00:00:00Z,quality,3.594391244870041
2006-07-01T00:00:00Z,quality,3.8333333333333335
2006-10-01T00:00:00Z,quality,3.4312
2007-01-01T00:00:00Z,quality,3.575227963525836
2007-04-01T00:00:00Z,quality,3.6541970802919708
2007-07-01T00:00:00Z,quality,3.708133971291866
2007-10-01T00:00:00Z,quality,3.571564885496183
2008-01-01T00:00:00Z,quality,3.4837037037037035
2008-04-01T00:00:00Z,quality,3.50390625
2008-07-01T00:00:00Z,quality,3.7892156862745097
2008-10-01T00:00:00Z,quality,3.4227574750830563
2009-01-01T00:00:00Z,quality,3.4609101516919485
2009-04-01T00:00:00Z,quality,3.494747899159664
2009-07-01T00:00:00Z,quality,3.864102564102564
2009-10-01T00:00:00Z,quality,3.4917168674698793
2010-01-01T00:00:00Z,quality,3.4707379134860052
2010-04-01T00:00:00Z,quality,3.5578034682080926
2010-07-01T00:00:00Z,quality,3.7387387387387387
2010-10-01T00:00:00Z,quality,3.5572246065808297
2011-01-01T00:00:00Z,quality,3.6735588972431077
2011-04-01T00:00:00Z,quality,3.642988929889299
2011-07-01T00:00:00Z,quality,4.113382899628252
2011-10-01T00:00:00Z,quality,3.630612244897959
2012-01-01T00:00:00Z,quality,3.777385159010601
2012-04-01T00:00:00Z,quality,3.7063953488372094
2012-07-01T00:00:00Z,quality,4.125
2012-10-01T00:00:00Z,quality,3.707936507936508
2013-01-01T00:00:00Z,quality,3.662968099861304
2013-04-01T00:00:00Z,quality,3.75
2013-07-01T00:00:00Z,quality,3.9551569506726456
2013-10-01T00:00:00Z,quality,3.7613636363636362
2014-01-01T00:00:00Z,quality,3.6661272923408847
2014-04-01T00:00:00Z,quality,3.689068100358423
2014-07-01T00:00:00Z,quality,4.01440329218107
2014-10-01T00:00:00Z,quality,3.524278215223097
2015-01-01T00:00:00Z,quality,3.529682702149437
2015-04-01T00:00:00Z,quality,3.6373831775700936
2015-07-01T00:00:00Z,quality,4.024752475247524
2015-10-01T00:00:00Z,quality,3.6317365269461077
2016-01-01T00:00:00Z,quality,3.568401937046005
2016-04-01T00:00:00Z,quality,3.7645985401459856
2016-07-01T00:00:00Z,quality,3.8857142857142857
2016-10-01T00:00:00Z,quality,3.735660847880299
2017-01-01T00:00:00Z,quality,3.70959595959596
2017-04-01T00:00:00Z,quality,3.7764350453172204
2017-07-01T00:00:00Z,quality,4.072463768115942
2017-10-01T00:00:00Z,quality,3.6751740139211138
2018-01-01T00:00:00Z,quality,3.6835970024979185
2018-04-01T00:00:00Z,quality,3.703328509406657
2018-07-01T00:00:00Z,quality,3.802919708029197
2018-10-01T00:00:00Z,quality,3.621500559910414
2019-01-01T00:00:00Z,quality,3.607142857142857
2019-04-01T00:00:00Z,quality,3.493707647628267
2019-07-01T00:00:00Z,quality,3.713004484304933
2019-10-01T00:00:00Z,quality,3.3520097442143726
2020-01-01T00:00:00Z,quality,3.4923076923076923
2020-04-01T00:00:00Z,quality,3.5836341756919374
2020-07-01T00:00:00Z,quality,3.5644171779141103
2020-10-01T00:00:00Z,quality,3.4765990639625586
2021-01-01T00:00:00Z,quality,3.548539857932123
2021-04-01T00:00:00Z,quality,3.2306701030927836
2021-07-01T00:00:00Z,quality,3.4980237154150196
2021-10-01T00:00:00Z,quality,3.116504854368932
2001-07-01T00:00:00Z,difficulty,3.769230769230769
2001-10-01T00:00:00Z,difficulty,3.25
2002-01-01T00:00:00Z,difficulty,3.611111111111111
2002-04-01T00:00:00Z,difficulty,3.130434782608696
2002-07-01T00:00:00Z,difficulty,3.5833333333333335
2002-10-01T00:00:00Z,difficulty,2.8461538461538463
2003-01-01T00:00:00Z,difficulty,3.118811881188119
2003-04-01T00:00:00Z,difficulty,3.2045454545454546
2003-07-01T00:00:00Z,difficulty,2.979591836734694
2003-10-01T00:00:00Z,difficulty,2.776536312849162
2004-01-01T00:00:00Z,difficulty,2.8244972577696528
2004-04-01T00:00:00Z,difficulty,2.807073954983923
2004-07-01T00:00:00Z,difficulty,2.9320754716981132
2004-10-01T00:00:00Z,difficulty,2.985074626865672
2005-01-01T00:00:00Z,difficulty,2.8625756266205706
2005-04-01T00:00:00Z,difficulty,2.9092105263157895
2005-07-01T00:00:00Z,difficulty,2.9749134948096887
2005-10-01T00:00:00Z,difficulty,2.977164605137964
2006-01-01T00:00:00Z,difficulty,2.970979443772672
2006-04-01T00:00:00Z,difficulty,2.856361149110807
2006-07-01T00:00:00Z,difficulty,2.823717948717949
2006-10-01T00:00:00Z,difficulty,2.9568
2007-01-01T00:00:00Z,difficulty,2.9483282674772036
2007-04-01T00:00:00Z,difficulty,2.9452554744525545
2007-07-01T00:00:00Z,difficulty,2.9473684210526314
2007-10-01T00:00:00Z,difficulty,2.969465648854962
2008-01-01T00:00:00Z,difficulty,3.0755555555555554
2008-04-01T00:00:00Z,difficulty,3.02734375
2008-07-01T00:00:00Z,difficulty,3.1470588235294117
2008-10-01T00:00:00Z,difficulty,3.0714285714285716
2009-01-01T00:00:00Z,difficulty,3.1120186697782963
2009-04-01T00:00:00Z,difficulty,2.995798319327731
2009-07-01T00:00:00Z,difficulty,3.041025641025641
2009-10-01T00:00:00Z,difficulty,3.0813253012048194
2010-01-01T00:00:00Z,difficulty,3.0216284987277353
2010-04-01T00:00:00Z,difficulty,2.947976878612717
2010-07-01T00:00:00Z,difficulty,2.990990990990991
2010-10-01T00:00:00Z,difficulty,3.022889842632332
2011-01-01T00:00:00Z,difficulty,2.844611528822055
2011-04-01T00:00:00Z,difficulty,2.9317343173431736
2011-07-01T00:00:00Z,difficulty,2.7769516728624537
2011-10-01T00:00:00Z,difficulty,2.889795918367347
2012-01-01T00:00:00Z,difficulty,2.833922261484099
2012-04-01T00:00:00Z,difficulty,2.8236434108527133
2012-07-01T00:00:00Z,difficulty,2.6875
2012-10-01T00:00:00Z,difficulty,2.846031746031746
2013-01-01T00:00:00Z,difficulty,2.88626907073509
2013-04-01T00:00:00Z,difficulty,2.7852459016393443
2013-07-01T00:00:00Z,difficulty,2.68609865470852
2013-10-01T00:00:00Z,difficulty,2.7586580086580086
2014-01-01T00:00:00Z,difficulty,2.7982740021574974
2014-04-01T00:00:00Z,difficulty,2.802867383512545
2014-07-01T00:00:00Z,difficulty,2.7901234567901234
2014-10-01T00:00:00Z,difficulty,3.143044619422572
2015-01-01T00:00:00Z,difficulty,3.036847492323439
2015-04-01T00:00:00Z,difficulty,3.069158878504673
2015-07-01T00:00:00Z,difficulty,2.8118811881188117
2015-10-01T00:00:00Z,difficulty,3.007185628742515
2016-01-01T00:00:00Z,difficulty,2.9878934624697338
2016-04-01T00:00:00Z,difficulty,3.1350364963503647
2016-07-01T00:00:00Z,difficulty,3.123809523809524
2016-10-01T00:00:00Z,difficulty,3.2369077306733165
2017-01-01T00:00:00Z,difficulty,3.2335858585858586
2017-04-01T00:00:00Z,difficulty,3.1132930513595167
2017-07-01T00:00:00Z,difficulty,3.2270531400966185
2017-10-01T00:00:00Z,difficulty,3.17169373549884
2018-01-01T00:00:00Z,difficulty,3.2681099084096585
2018-04-01T00:00:00Z,difficulty,3.2619392185238785
2018-07-01T00:00:00Z,difficulty,3.1605839416058394
2018-10-01T00:00:00Z,difficulty,3.2833146696528557
2019-01-01T00:00:00Z,difficulty,3.224903474903475
2019-04-01T00:00:00Z,difficulty,3.229428848015489
2019-07-01T00:00:00Z,difficulty,3.31390134529148
2019-10-01T00:00:00Z,difficulty,3.275274056029233
2020-01-01T00:00:00Z,difficulty,3.201025641025641
2020-04-01T00:00:00Z,difficulty,3.1395908543922983
2020-07-01T00:00:00Z,difficulty,3.2177914110429446
2020-10-01T00:00:00Z,difficulty,3.2550702028081124
2021-01-01T00:00:00Z,difficulty,3.277032359905288
2021-04-01T00:00:00Z,difficulty,3.3969072164948453
2021-07-01T00:00:00Z,difficulty,3.1462450592885376
2021-10-01T00:00:00Z,difficulty,3.466019417475728
